call_id,customer_id,vehicle_id,agent_id,branch,call_date,call_type,issue_category,priority,call_duration_mins,call_notes
37,12,18,153,Mattuthavani,2025-07-28,General Query,AMC Plan Details,Low,21,Customer requested information regarding amc plan details.
38,13,19,158,Thirunagar,2026-03-06,Complaint,Tyre Wear,Low,15,Customer concerned about tyre condition.
39,14,21,255,Thillai Nagar,2024-11-22,Complaint,Engine Overheating,High,12,Customer reports engine overheating during long rides.
40,15,22,24,Tambaram,2026-03-01,Complaint,Engine Overheating,High,19,Engine temperature rises significantly in traffic conditions.
41,15,22,30,Tambaram,2025-11-01,Follow Up,Service Status Check,Medium,16,Customer requested update regarding service status check.
42,16,24,209,Ammapet,2026-05-20,Follow Up,Previous Complaint Follow Up,Medium,6,Customer requested update regarding previous complaint follow up.
43,16,24,214,Ammapet,2024-08-07,Complaint,Self Start Problem,Low,6,Self start system requires checking.
44,16,23,209,Ammapet,2025-03-25,Service Inquiry,General Checkup,Medium,12,Customer contacted branch regarding general checkup.
45,16,23,213,Ammapet,2025-09-13,Complaint,Oil Leakage,Medium,2,Oil leakage observed beneath vehicle.
46,17,25,255,Thillai Nagar,2025-02-02,Complaint,Battery Issue,Medium,7,Battery not retaining charge properly.
47,18,26,206,Hasthampatti,2025-08-16,Complaint,Engine Overheating,High,5,Vehicle becoming excessively hot after continuous usage.
48,19,27,83,Peelamedu,2024-09-27,Complaint,Engine Vibration,Low,21,Excessive engine vibration observed.
49,19,27,82,Peelamedu,2025-12-16,Complaint,Headlight Failure,Low,17,Headlight not functioning properly.
50,19,27,80,Peelamedu,2024-09-21,Complaint,Headlight Failure,Low,24,Headlight not functioning properly.
51,19,27,86,Peelamedu,2025-07-25,Service Inquiry,Engine Inspection,Low,24,Customer contacted branch regarding engine inspection.
52,20,28,57,Gandhipuram,2024-11-18,Complaint,Battery Issue,Medium,20,Battery not retaining charge properly.
53,20,28,63,Gandhipuram,2026-05-29,Follow Up,Escalation Follow Up,Medium,18,Customer requested update regarding escalation follow up.
54,20,28,61,Gandhipuram,2025-09-15,Complaint,Tyre Wear,Low,21,Tyre replacement may be required.
55,20,28,65,Gandhipuram,2025-08-17,Complaint,Tyre Wear,Low,25,Tyre replacement may be required.
56,21,29,144,Mattuthavani,2026-04-21,Complaint,Fuel Leakage,High,7,Possible fuel system leakage reported.
57,21,29,148,Mattuthavani,2024-12-24,General Query,Roadside Assistance,Low,5,Customer requested information regarding roadside assistance.
58,21,29,147,Mattuthavani,2025-05-08,Service Inquiry,Periodic Service,Low,14,Customer contacted branch regarding periodic service.
59,21,29,149,Mattuthavani,2024-09-02,Complaint,Vehicle Not Starting,Low,21,Vehicle fails to start intermittently.
60,22,30,75,Peelamedu,2026-03-07,Service Inquiry,Oil Change,Low,22,Customer contacted branch regarding oil change.
61,22,30,81,Peelamedu,2026-05-04,General Query,Roadside Assistance,Low,17,Customer requested information regarding roadside assistance.
62,22,30,82,Peelamedu,2025-05-18,Complaint,Suspension Noise,Low,21,Customer reports unusual suspension sound.
63,22,30,82,Peelamedu,2025-01-17,Complaint,Wheel Alignment Issue,Low,19,Vehicle pulling to one side.
64,22,30,83,Peelamedu,2025-05-29,Follow Up,Escalation Follow Up,Medium,8,Customer requested update regarding escalation follow up.
65,23,31,136,Anna Nagar Madurai,2026-05-06,Service Inquiry,Chain Adjustment,Medium,22,Customer contacted branch regarding chain adjustment.
66,23,31,137,Anna Nagar Madurai,2025-12-17,Service Inquiry,General Checkup,Low,25,Customer contacted branch regarding general checkup.
67,23,31,136,Anna Nagar Madurai,2025-06-15,Complaint,Engine Vibration,Low,23,Excessive engine vibration observed.
68,23,31,135,Anna Nagar Madurai,2025-09-13,Complaint,Battery Drain,Low,7,Battery draining overnight.
69,24,33,200,Hasthampatti,2025-08-15,Complaint,Headlight Failure,Low,14,Headlight not functioning properly.
70,24,33,201,Hasthampatti,2025-12-01,Follow Up,Service Status Check,Medium,19,Customer requested update regarding service status check.
71,24,33,197,Hasthampatti,2026-01-12,Complaint,Clutch Issue,Low,13,Clutch response not smooth.
72,25,34,209,Ammapet,2025-04-21,Complaint,Low Mileage,Low,4,Customer dissatisfied with fuel efficiency.
73,25,34,211,Ammapet,2025-04-13,Service Inquiry,General Checkup,Medium,14,Customer contacted branch regarding general checkup.
74,25,34,212,Ammapet,2024-09-21,Complaint,Engine Overheating,High,18,Engine temperature rises significantly in traffic conditions.
75,25,34,215,Ammapet,2025-03-04,Complaint,Tyre Wear,Low,3,Tyre replacement may be required.
76,25,34,211,Ammapet,2025-03-27,Service Inquiry,Battery Check,Low,13,Customer contacted branch regarding battery check.
77,26,35,104,Singanallur,2025-03-31,Service Inquiry,Chain Adjustment,Low,10,Customer contacted branch regarding chain adjustment.
78,26,35,113,Singanallur,2025-03-29,Complaint,Suspension Noise,Low,9,Customer reports unusual suspension sound.
79,26,35,105,Singanallur,2025-03-19,Complaint,Battery Issue,Medium,17,Customer reports reduced battery performance.
80,26,35,106,Singanallur,2025-03-10,Complaint,Engine Vibration,Low,11,Excessive engine vibration observed.
81,27,37,247,Thillai Nagar,2025-11-12,Complaint,Wheel Alignment Issue,Low,5,Wheel alignment inspection requested.
82,28,38,286,KK Nagar Trichy,2026-05-03,Complaint,Exhaust Heating,Low,10,Exhaust section becoming unusually hot during rides.
83,29,39,244,Srirangam,2025-05-26,Complaint,Self Start Problem,Low,7,Self start mechanism not responding consistently.
84,29,39,240,Srirangam,2025-08-22,Complaint,Exhaust Heating,Low,23,Customer concerned about heat from exhaust assembly.
85,29,39,239,Srirangam,2026-05-02,Complaint,Low Mileage,Low,25,Fuel consumption concern raised.
86,30,40,159,Thirunagar,2025-04-13,Complaint,Battery Issue,Medium,22,Battery discharge observed frequently.
87,30,40,155,Thirunagar,2024-07-17,Complaint,Engine Vibration,Low,11,Excessive engine vibration observed.
88,30,40,155,Thirunagar,2024-09-25,Complaint,Oil Leakage,Medium,14,Customer reports oil dripping after parking.
89,31,41,211,Ammapet,2024-06-23,Complaint,Headlight Failure,Low,19,Headlamp requires inspection.
90,31,41,209,Ammapet,2025-05-02,Complaint,Fuel Leakage,High,22,Possible fuel system leakage reported.
91,31,41,209,Ammapet,2026-05-19,Complaint,Suspension Noise,Low,6,Noise noticed while crossing speed breakers.
92,31,41,208,Ammapet,2024-10-03,Follow Up,Service Status Check,Medium,18,Customer requested update regarding service status check.
93,32,42,73,RS Puram,2024-11-09,Complaint,Brake Failure,High,25,Braking response reduced unexpectedly.
94,33,44,241,Srirangam,2025-04-20,Service Inquiry,Periodic Service,Medium,7,Customer contacted branch regarding periodic service.
95,33,43,244,Srirangam,2025-08-18,Complaint,Brake Noise,Medium,4,Customer reports unusual brake sound.
96,33,43,238,Srirangam,2025-06-06,General Query,AMC Plan Details,Low,20,Customer requested information regarding amc plan details.
97,33,43,239,Srirangam,2025-03-01,Service Inquiry,General Checkup,Medium,25,Customer contacted branch regarding general checkup.
98,33,44,245,Srirangam,2025-01-24,General Query,AMC Plan Details,Low,18,Customer requested information regarding amc plan details.
99,34,45,243,Srirangam,2024-10-02,Complaint,Brake Noise,Medium,13,Customer reports unusual brake sound.
100,34,45,240,Srirangam,2026-01-19,Complaint,Exhaust Heating,Low,3,Customer concerned about heat from exhaust assembly.
101,34,45,239,Srirangam,2024-07-04,Complaint,Fuel Leakage,High,18,Fuel dripping observed near fuel line.
102,35,46,165,Thirunagar,2025-12-19,Complaint,Wheel Alignment Issue,Low,12,Vehicle pulling to one side.
103,35,46,160,Thirunagar,2024-12-23,Complaint,Suspension Noise,Low,11,Customer reports unusual suspension sound.
104,35,46,164,Thirunagar,2024-12-28,Service Inquiry,Brake Inspection,Medium,7,Customer contacted branch regarding brake inspection.
105,35,46,158,Thirunagar,2026-03-15,Complaint,Tyre Wear,Low,4,Customer concerned about tyre condition.
106,35,46,156,Thirunagar,2026-03-22,Complaint,Suspension Noise,Low,4,Noise noticed while crossing speed breakers.
107,36,47,230,Omalur,2024-06-19,Complaint,Chain Noise,Low,16,Chain noise reported during riding.
108,36,47,236,Omalur,2025-06-23,Complaint,Low Mileage,Low,9,Customer dissatisfied with fuel efficiency.
109,36,47,229,Omalur,2024-08-18,Complaint,Self Start Problem,Low,24,Self start system requires checking.
110,37,48,181,Fairlands,2026-05-02,General Query,Roadside Assistance,Low,22,Customer requested information regarding roadside assistance.
111,37,48,185,Fairlands,2024-10-19,Complaint,Suspension Noise,Low,18,Customer reports unusual suspension sound.
112,37,48,192,Fairlands,2026-04-05,Follow Up,Repair Status Check,Medium,21,Customer requested update regarding repair status check.
113,38,49,210,Ammapet,2025-12-08,Complaint,Tyre Wear,Low,24,Uneven tyre wear observed.
114,38,49,209,Ammapet,2024-08-23,Complaint,Battery Drain,Low,7,Battery losing charge within short periods.
115,39,52,238,Srirangam,2026-03-05,Complaint,Battery Issue,Medium,6,Battery discharge observed frequently.
116,39,53,238,Srirangam,2025-07-31,Complaint,Clutch Issue,Low,24,Clutch response not smooth.
117,39,52,241,Srirangam,2026-05-05,Complaint,Oil Leakage,Medium,5,Engine oil leakage suspected.
118,39,52,244,Srirangam,2025-06-26,Complaint,Oil Leakage,Medium,7,Customer reports oil dripping after parking.
119,40,54,76,Peelamedu,2025-01-05,Complaint,Fuel Leakage,High,3,Possible fuel system leakage reported.
120,41,56,144,Mattuthavani,2024-06-18,Follow Up,Previous Complaint Follow Up,Medium,25,Customer requested update regarding previous complaint follow up.
121,41,57,151,Mattuthavani,2026-03-08,Complaint,Brake Noise,Medium,13,Customer reports unusual brake sound.
122,41,55,153,Mattuthavani,2025-03-05,Complaint,Battery Drain,Low,17,Battery losing charge within short periods.
123,42,58,253,Thillai Nagar,2025-12-03,Follow Up,Escalation Follow Up,Medium,24,Customer requested update regarding escalation follow up.
124,42,58,247,Thillai Nagar,2025-04-25,General Query,Service Cost Inquiry,Low,25,Customer requested information regarding service cost inquiry.
125,42,58,248,Thillai Nagar,2025-10-21,Complaint,Low Mileage,Low,18,Mileage lower than expected.
126,43,59,74,RS Puram,2025-04-02,General Query,Spare Parts Availability,Low,23,Customer requested information regarding spare parts availability.
127,43,60,72,RS Puram,2025-07-04,Complaint,Engine Overheating,High,11,Customer reports engine overheating during long rides.
128,43,59,67,RS Puram,2025-12-09,Service Inquiry,Engine Inspection,Medium,16,Customer contacted branch regarding engine inspection.
129,43,60,69,RS Puram,2025-06-27,Service Inquiry,Wheel Alignment,Low,9,Customer contacted branch regarding wheel alignment.
130,43,60,71,RS Puram,2025-05-26,Complaint,Engine Overheating,High,18,Customer reports engine overheating during long rides.
131,44,61,193,Fairlands,2025-10-30,Complaint,Tyre Wear,Low,20,Customer concerned about tyre condition.
132,44,61,191,Fairlands,2026-03-19,Complaint,Battery Issue,Medium,21,Customer reports reduced battery performance.
133,45,63,3,Anna Nagar,2024-12-29,Follow Up,Escalation Follow Up,Medium,16,Customer requested update regarding escalation follow up.
134,46,65,170,Tallakulam,2024-06-26,General Query,Warranty Information,Low,19,Customer requested information regarding warranty information.
135,46,64,173,Tallakulam,2024-10-07,Service Inquiry,Periodic Service,Low,7,Customer contacted branch regarding periodic service.
136,46,65,175,Tallakulam,2024-07-06,Service Inquiry,Chain Adjustment,Medium,13,Customer contacted branch regarding chain adjustment.
137,46,66,172,Tallakulam,2025-07-22,Complaint,Engine Vibration,Low,11,Excessive engine vibration observed.
138,47,67,246,Thillai Nagar,2026-05-03,Service Inquiry,Periodic Service,Low,23,Customer contacted branch regarding periodic service.
139,47,67,252,Thillai Nagar,2025-02-08,Service Inquiry,Periodic Service,Medium,18,Customer contacted branch regarding periodic service.
140,47,67,255,Thillai Nagar,2025-11-12,Follow Up,Previous Complaint Follow Up,Medium,6,Customer requested update regarding previous complaint follow up.
141,47,67,249,Thillai Nagar,2025-03-12,General Query,Roadside Assistance,Low,25,Customer requested information regarding roadside assistance.
142,47,67,246,Thillai Nagar,2024-06-12,General Query,Warranty Information,Low,23,Customer requested information regarding warranty information.
143,48,68,60,Gandhipuram,2024-09-25,Complaint,Engine Overheating,High,20,Customer reports engine overheating during long rides.
144,49,70,74,RS Puram,2025-11-06,Complaint,Oil Leakage,Medium,17,Customer reports oil dripping after parking.
145,49,69,73,RS Puram,2024-07-27,Complaint,Battery Drain,Low,6,Customer reports frequent battery discharge.
146,50,71,116,KK Nagar,2024-08-23,Follow Up,Escalation Follow Up,Medium,21,Customer requested update regarding escalation follow up.
147,51,73,221,Suramangalam,2025-07-10,Complaint,Wheel Alignment Issue,Low,8,Customer reports alignment concern.
148,51,73,223,Suramangalam,2025-07-17,Service Inquiry,Wheel Alignment,Low,18,Customer contacted branch regarding wheel alignment.
149,51,73,223,Suramangalam,2026-04-05,Complaint,Chain Noise,Low,19,Chain noise reported during riding.
150,51,72,224,Suramangalam,2025-05-22,Complaint,Oil Leakage,Medium,22,Customer reports oil dripping after parking.
151,52,75,30,Tambaram,2024-10-18,Complaint,Oil Leakage,Medium,24,Customer reports oil dripping after parking.
152,52,75,28,Tambaram,2025-05-09,General Query,Warranty Information,Low,15,Customer requested information regarding warranty information.
153,52,75,28,Tambaram,2026-02-03,Complaint,Engine Overheating,High,25,Customer reports engine overheating during long rides.
154,52,74,31,Tambaram,2025-12-17,Complaint,Headlight Failure,Low,25,Headlamp requires inspection.
155,52,75,30,Tambaram,2025-06-10,General Query,Roadside Assistance,Low,20,Customer requested information regarding roadside assistance.
156,53,76,6,Anna Nagar,2025-08-03,Complaint,Chain Noise,Low,16,Chain noise reported during riding.
157,54,78,196,Hasthampatti,2025-03-02,Complaint,Brake Noise,Medium,12,Customer reports unusual brake sound.
158,54,79,195,Hasthampatti,2025-08-27,Service Inquiry,Battery Check,Medium,14,Customer contacted branch regarding battery check.
159,54,78,196,Hasthampatti,2025-12-30,Service Inquiry,Battery Check,Low,21,Customer contacted branch regarding battery check.
160,55,80,54,Gandhipuram,2026-05-23,Complaint,Self Start Problem,Low,5,Customer reports difficulty starting vehicle.
161,55,80,66,Gandhipuram,2025-05-25,Complaint,Brake Failure,High,14,Braking response reduced unexpectedly.
162,55,80,61,Gandhipuram,2025-09-04,Follow Up,Service Status Check,Medium,3,Customer requested update regarding service status check.
163,55,80,58,Gandhipuram,2024-07-30,Complaint,Oil Leakage,Medium,11,Customer reports oil dripping after parking.
164,56,81,108,Singanallur,2025-06-03,Complaint,Exhaust Heating,Low,13,Customer concerned about heat from exhaust assembly.
165,57,82,201,Hasthampatti,2024-12-23,Service Inquiry,Brake Inspection,Low,2,Customer contacted branch regarding brake inspection.
166,57,82,204,Hasthampatti,2025-11-26,Follow Up,Previous Complaint Follow Up,Medium,6,Customer requested update regarding previous complaint follow up.
167,58,83,71,RS Puram,2025-01-30,Complaint,Chain Noise,Low,16,Chain requires inspection.
168,59,85,117,KK Nagar,2024-07-16,General Query,AMC Plan Details,Low,18,Customer requested information regarding amc plan details.
169,59,84,115,KK Nagar,2025-01-24,Complaint,Tyre Wear,Low,20,Customer concerned about tyre condition.
170,59,84,122,KK Nagar,2026-01-25,Complaint,Battery Issue,Medium,10,Battery discharge observed frequently.
171,60,87,222,Suramangalam,2024-07-04,Service Inquiry,Engine Inspection,Medium,17,Customer contacted branch regarding engine inspection.
172,60,86,218,Suramangalam,2025-11-07,General Query,AMC Plan Details,Low,13,Customer requested information regarding amc plan details.
173,60,87,221,Suramangalam,2024-12-07,Complaint,Battery Issue,Medium,15,Customer reports reduced battery performance.
174,60,86,219,Suramangalam,2026-04-01,Complaint,Brake Noise,Medium,2,Customer reports unusual brake sound.
175,61,89,114,Singanallur,2025-07-16,Service Inquiry,Wheel Alignment,Medium,24,Customer contacted branch regarding wheel alignment.
176,61,89,114,Singanallur,2025-12-27,Service Inquiry,General Checkup,Medium,23,Customer contacted branch regarding general checkup.
177,61,88,113,Singanallur,2026-02-08,Complaint,Brake Failure,High,3,Customer reports brake performance concerns.
178,61,88,114,Singanallur,2024-07-17,Complaint,Oil Leakage,Medium,8,Engine oil leakage suspected.
179,61,88,114,Singanallur,2025-08-16,Complaint,Battery Drain,Low,25,Customer reports frequent battery discharge.
180,62,90,234,Omalur,2025-10-05,Service Inquiry,Wheel Alignment,Medium,9,Customer contacted branch regarding wheel alignment.
181,62,90,228,Omalur,2024-06-07,General Query,Service Cost Inquiry,Low,23,Customer requested information regarding service cost inquiry.
182,62,90,229,Omalur,2024-09-24,Complaint,Engine Overheating,High,24,Customer reports engine overheating during long rides.
183,63,91,32,Tambaram,2025-08-18,Complaint,Battery Drain,Low,25,Battery draining overnight.
184,63,91,28,Tambaram,2024-10-24,Complaint,Low Mileage,Low,23,Customer dissatisfied with fuel efficiency.
185,63,91,31,Tambaram,2025-04-27,Complaint,Battery Issue,Medium,21,Customer reports reduced battery performance.
186,63,91,30,Tambaram,2025-12-29,Complaint,Engine Overheating,High,25,Customer reports engine overheating during long rides.
187,63,91,26,Tambaram,2025-12-09,Complaint,Oil Leakage,Medium,17,Engine oil leakage suspected.
188,64,92,42,Porur,2024-07-08,Service Inquiry,General Checkup,Medium,10,Customer contacted branch regarding general checkup.
189,64,92,40,Porur,2024-06-30,General Query,Roadside Assistance,Low,25,Customer requested information regarding roadside assistance.
190,64,92,36,Porur,2025-01-05,Service Inquiry,Engine Inspection,Medium,22,Customer contacted branch regarding engine inspection.
191,64,92,40,Porur,2026-05-16,Complaint,Low Mileage,Low,6,Fuel consumption concern raised.
192,65,93,232,Omalur,2026-01-09,Complaint,Wheel Alignment Issue,Low,23,Vehicle pulling to one side.
193,65,93,229,Omalur,2025-03-30,Complaint,Vehicle Not Starting,Low,13,Starting issue reported.
194,66,94,180,Fairlands,2024-10-19,Complaint,Brake Noise,Medium,6,Customer reports unusual brake sound.
195,66,94,183,Fairlands,2026-01-07,Service Inquiry,Wheel Alignment,Medium,12,Customer contacted branch regarding wheel alignment.
196,66,94,179,Fairlands,2025-03-06,Complaint,Self Start Problem,Low,13,Self start system requires checking.
197,66,94,192,Fairlands,2024-12-29,Complaint,Engine Vibration,Low,12,Engine vibration requires inspection.
198,67,95,71,RS Puram,2025-08-30,Complaint,Wheel Alignment Issue,Low,9,Vehicle pulling to one side.
199,68,96,145,Mattuthavani,2025-05-08,Service Inquiry,Oil Change,Medium,6,Customer contacted branch regarding oil change.
200,68,96,143,Mattuthavani,2025-08-16,General Query,AMC Plan Details,Low,2,Customer requested information regarding amc plan details.
201,68,96,145,Mattuthavani,2026-04-11,Complaint,Battery Issue,Medium,7,Battery discharge observed frequently.
202,68,96,143,Mattuthavani,2025-03-03,Complaint,Clutch Issue,Low,18,Clutch assembly inspection requested.
203,69,97,177,Tallakulam,2024-12-15,Complaint,Low Mileage,Low,22,Mileage lower than expected.
204,69,97,174,Tallakulam,2025-01-01,Complaint,Oil Leakage,Medium,14,Customer reports oil dripping after parking.
205,70,99,1,Anna Nagar,2026-03-23,General Query,Warranty Information,Low,17,Customer requested information regarding warranty information.
206,70,98,5,Anna Nagar,2024-09-24,Service Inquiry,Brake Inspection,Medium,13,Customer contacted branch regarding brake inspection.
207,70,99,9,Anna Nagar,2025-05-19,Complaint,Oil Leakage,Medium,10,Customer reports oil dripping after parking.
208,71,100,47,T Nagar,2024-07-22,Complaint,Vehicle Not Starting,Low,24,Customer unable to start vehicle.
209,71,100,46,T Nagar,2025-04-22,Complaint,Engine Vibration,Low,14,Engine vibration requires inspection.
210,71,100,51,T Nagar,2024-08-31,Complaint,Fuel Leakage,High,17,Customer noticed fuel leakage smell.
211,72,101,167,Tallakulam,2026-04-06,Complaint,Tyre Wear,Low,20,Uneven tyre wear observed.
212,72,101,166,Tallakulam,2026-01-28,Service Inquiry,Wheel Alignment,Low,21,Customer contacted branch regarding wheel alignment.
213,72,101,173,Tallakulam,2025-11-17,Complaint,Battery Issue,Medium,6,Battery not retaining charge properly.
214,73,102,250,Thillai Nagar,2025-06-12,Follow Up,Service Status Check,Medium,2,Customer requested update regarding service status check.
215,73,102,248,Thillai Nagar,2024-09-17,Complaint,Clutch Issue,Low,21,Customer reports clutch operation issue.
216,73,102,246,Thillai Nagar,2024-11-20,Complaint,Low Mileage,Low,4,Mileage lower than expected.
217,73,102,248,Thillai Nagar,2025-10-19,Service Inquiry,Wheel Alignment,Low,13,Customer contacted branch regarding wheel alignment.
218,74,103,100,Saibaba Colony,2024-06-06,Service Inquiry,Battery Check,Medium,18,Customer contacted branch regarding battery check.
219,74,103,91,Saibaba Colony,2024-06-05,Complaint,Engine Overheating,High,23,Vehicle becoming excessively hot after continuous usage.
220,74,104,91,Saibaba Colony,2025-01-14,Complaint,Low Mileage,Low,18,Customer dissatisfied with fuel efficiency.
221,74,103,93,Saibaba Colony,2025-09-20,Service Inquiry,General Checkup,Low,14,Customer contacted branch regarding general checkup.
222,75,105,51,T Nagar,2024-06-27,Complaint,Battery Issue,Medium,12,Battery not retaining charge properly.
223,75,105,49,T Nagar,2024-12-04,General Query,Spare Parts Availability,Low,19,Customer requested information regarding spare parts availability.
224,75,105,43,T Nagar,2025-08-15,General Query,Warranty Information,Low,23,Customer requested information regarding warranty information.
225,75,105,46,T Nagar,2024-12-23,Service Inquiry,Engine Inspection,Medium,16,Customer contacted branch regarding engine inspection.
226,75,105,49,T Nagar,2025-05-03,Complaint,Gear Shift Problem,Low,16,Difficulty shifting gears reported.
227,76,106,95,Saibaba Colony,2024-07-20,Complaint,Vehicle Not Starting,Low,14,Starting issue reported.
228,76,106,91,Saibaba Colony,2025-04-29,Service Inquiry,Periodic Service,Low,2,Customer contacted branch regarding periodic service.
229,76,106,100,Saibaba Colony,2024-12-19,Complaint,Engine Overheating,High,16,Customer reports engine overheating during long rides.
230,77,107,203,Hasthampatti,2024-09-21,Complaint,Tyre Wear,Low,22,Uneven tyre wear observed.
231,77,107,199,Hasthampatti,2026-03-30,Complaint,Exhaust Heating,Low,16,Customer reports excessive heat near exhaust area.
232,78,108,287,KK Nagar Trichy,2025-04-29,Complaint,Engine Overheating,High,12,Vehicle becoming excessively hot after continuous usage.
233,78,108,285,KK Nagar Trichy,2026-04-24,Service Inquiry,Wheel Alignment,Medium,9,Customer contacted branch regarding wheel alignment.
234,78,108,281,KK Nagar Trichy,2024-07-10,Service Inquiry,Periodic Service,Medium,10,Customer contacted branch regarding periodic service.
235,78,108,281,KK Nagar Trichy,2026-04-30,Follow Up,Previous Complaint Follow Up,Medium,5,Customer requested update regarding previous complaint follow up.
236,79,109,26,Tambaram,2025-05-20,Complaint,Oil Leakage,Medium,20,Customer reports oil dripping after parking.
237,79,109,27,Tambaram,2025-07-03,Complaint,Low Mileage,Low,16,Customer dissatisfied with fuel efficiency.
238,79,109,30,Tambaram,2024-07-29,Follow Up,Escalation Follow Up,Medium,7,Customer requested update regarding escalation follow up.
239,79,109,31,Tambaram,2025-01-23,Complaint,Engine Overheating,High,9,Vehicle becoming excessively hot after continuous usage.
240,79,109,23,Tambaram,2025-10-29,Complaint,Engine Overheating,High,2,Customer reports engine overheating during long rides.
241,80,110,126,KK Nagar,2025-01-22,Service Inquiry,Battery Check,Medium,20,Customer contacted branch regarding battery check.
242,80,110,128,KK Nagar,2025-04-04,Complaint,Headlight Failure,Low,18,Headlight not functioning properly.
243,80,110,128,KK Nagar,2025-07-10,Complaint,Chain Noise,Low,10,Chain requires inspection.
244,81,111,62,Gandhipuram,2026-03-17,Complaint,Battery Drain,Low,21,Battery losing charge within short periods.
245,81,111,53,Gandhipuram,2025-11-05,Complaint,Oil Leakage,Medium,19,Engine oil leakage suspected.
246,82,113,123,KK Nagar,2026-04-29,Complaint,Engine Overheating,High,16,Customer reports engine overheating during long rides.
247,82,113,118,KK Nagar,2024-09-01,Complaint,Engine Overheating,High,24,Engine temperature rises significantly in traffic conditions.
